ResponseId,Progress,Duration,Finished,RecordedDate,Q1_Main_Role,Q2_Heard_Of_Catatonia,Q3_Cared_For_Someone,Q4_What_Include_Text,Q5_Include_What_Is,Q5_Include_Signs,Q5_Include_Warning_Signs,Q5_Include_What_To_Do,Q7_Real_Life_Examples,Q8_Checklist_Helpful,Q9_Language_Type,Q10_Format_Print,Q10_Format_PDF,Q11_Pictures_Help,Q12_Wish_Knew_Earlier,Q13_Biggest_Worry,Q15_Review_Group_Interest,Q1_Other_Role
R_7008679,100,671.1397072315139,TRUE,2025-08-29T16:00:00Z,Parent or caregiver,Yes,No,Emergency contact information,0,1,1,1,Yes,Yes,Easy to understand,0,1,Yes,How serious this condition is,Not recognizing it in time,No,
R_1185657,100,876.9970548218803,TRUE,2025-09-03T15:00:00Z,Parent or caregiver,No,No,Information for schools,1,1,1,1,No,Yes,Medical and detailed,1,1,No,,Not recognizing it in time,No,
R_2547421,100,490.6300598101393,TRUE,2025-09-08T21:00:00Z,Teacher or school staff,No,No,Emergency contact information,1,1,1,1,Yes,Yes,Easy to understand,1,1,Yes,,Getting proper treatment,No,
R_3781070,100,997.8708138234837,TRUE,2025-09-06T17:00:00Z,Medical provider (like a psychiatrist or pediatrician),No,No,How to talk to doctors about this,1,1,1,1,Yes,Yes,Both options,0,1,Yes,How serious this condition is,Long-term effects,No,
R_9910115,100,724.7418486875285,TRUE,2025-09-03T20:00:00Z,Parent or caregiver,Yes,No,Information for schools,1,1,1,1,Yes,Yes,Both options,1,1,Yes,,Getting proper treatment,Yes,
R_5432853,100,1048.223247972412,TRUE,2025-09-07T17:00:00Z,Parent or caregiver,No,Yes,Information for schools,1,1,1,1,Yes,Yes,Easy to understand,1,0,Yes,How to get help quickly,Not recognizing it in time,No,
R_6986500,100,610.452941863046,TRUE,2025-09-03T22:00:00Z,Medical provider (like a psychiatrist or pediatrician),No,Unsure,Emergency contact information,1,1,1,1,Yes,Yes,Medical and detailed,1,1,Yes,,Long-term effects,Yes,
R_1248033,100,1153.5955615111905,TRUE,2025-09-03T12:00:00Z,Other,Yes,Yes,,1,1,1,1,Yes,Yes,Medical and detailed,1,1,Yes,How to get help quickly,,No,Social worker
R_7433751,100,983.4655555097611,TRUE,2025-09-02T01:00:00Z,Teacher or school staff,Yes,No,More examples of what to look for,1,1,1,1,Yes,Yes,Both options,1,1,No,The warning signs,,No,
R_8442693,100,621.0449182291227,TRUE,2025-09-04T22:00:00Z,Medical provider (like a psychiatrist or pediatrician),No,Yes,Emergency contact information,1,1,1,1,Yes,Yes,Easy to understand,1,1,Yes,,Not recognizing it in time,Yes,
R_9728705,100,662.3668110083206,TRUE,2025-09-03T16:00:00Z,Parent or caregiver,No,Yes,Information for schools,1,1,1,1,No,Yes,Easy to understand,1,1,Yes,,Not recognizing it in time,Yes,
R_8590914,100,600.3032153520791,TRUE,2025-09-07T23:00:00Z,Medical provider (like a psychiatrist or pediatrician),Yes,No,More examples of what to look for,1,1,1,1,Yes,Yes,Both options,1,1,No,How to get help quickly,Getting proper treatment,No,
R_8683476,100,378.55172047176166,TRUE,2025-09-02T16:00:00Z,Parent or caregiver,Yes,Unsure,More examples of what to look for,1,1,1,1,Yes,Yes,Both options,1,1,Yes,,,No,
R_1074742,100,971.483791500714,TRUE,2025-09-08T17:00:00Z,Behavioral therapist,No,No,Information for schools,1,1,1,1,Yes,No,Both options,1,0,Yes,How serious this condition is,Getting proper treatment,Yes,
R_7650553,100,1025.2151455988414,TRUE,2025-09-03T02:00:00Z,Medical provider (like a psychiatrist or pediatrician),Yes,No,How to talk to doctors about this,1,1,1,0,Yes,Yes,Both options,1,0,Yes,The warning signs,,No,
R_1286752,100,760.3263198253383,TRUE,2025-08-30T20:00:00Z,Medical provider (like a psychiatrist or pediatrician),No,Unsure,Emergency contact information,1,1,1,1,Yes,Yes,Both options,1,0,Yes,How serious this condition is,Getting proper treatment,Yes,
R_7614747,100,830.9231887481207,TRUE,2025-09-06T21:00:00Z,Medical provider (like a psychiatrist or pediatrician),Yes,No,,1,1,0,1,Yes,Yes,Medical and detailed,1,1,No,How to get help quickly,Not recognizing it in time,No,
R_5490203,100,639.67982617421,TRUE,2025-09-03T19:00:00Z,Medical provider (like a psychiatrist or pediatrician),Yes,Yes,Information for schools,1,1,0,1,Yes,Yes,Medical and detailed,1,1,Yes,How to get help quickly,Long-term effects,No,
R_8708289,100,790.9637614956588,TRUE,2025-08-29T13:00:00Z,Parent or caregiver,No,Yes,Information for schools,1,0,1,1,Yes,Yes,Medical and detailed,0,1,Yes,How serious this condition is,Not recognizing it in time,Yes,
R_6322647,100,592.3518496255947,TRUE,2025-08-29T18:00:00Z,Person with intellectual disability,Yes,No,Emergency contact information,1,1,1,1,Yes,No,Easy to understand,1,1,Yes,The warning signs,Long-term effects,Yes,
R_8365521,100,1111.906622798228,TRUE,2025-09-08T18:00:00Z,Parent or caregiver,No,No,How to talk to doctors about this,1,1,1,1,Yes,Yes,Both options,1,1,Yes,How to get help quickly,,No,
R_5519533,100,623.2638794893858,TRUE,2025-08-31T01:00:00Z,Medical provider (like a psychiatrist or pediatrician),Yes,No,,1,1,1,1,Yes,Yes,Both options,0,0,No,The warning signs,Getting proper treatment,No,
R_7798262,100,815.4280815213294,TRUE,2025-09-04T23:00:00Z,Parent or caregiver,No,No,,1,1,1,1,Yes,Yes,Both options,1,1,Yes,How serious this condition is,Getting proper treatment,No,
R_3556052,100,967.4402718340074,TRUE,2025-08-30T16:00:00Z,Parent or caregiver,No,No,How to talk to doctors about this,1,1,1,1,No,Yes,Both options,1,1,Yes,The warning signs,Getting proper treatment,No,
R_7517734,100,819.9851111552874,TRUE,2025-09-07T14:00:00Z,Medical provider (like a psychiatrist or pediatrician),No,No,Information for schools,1,1,1,1,Yes,Yes,Easy to understand,0,1,Yes,How to get help quickly,,No,
R_3722193,100,860.5456673139041,TRUE,2025-09-07T21:00:00Z,Behavioral therapist,Yes,Yes,Emergency contact information,1,1,0,1,Yes,Yes,Both options,0,0,No,The warning signs,Long-term effects,Yes,
R_6921548,100,568.2711156926734,TRUE,2025-09-01T20:00:00Z,Person with intellectual disability,No,Unsure,,1,1,1,1,Yes,Yes,Both options,1,1,Yes,,Long-term effects,No,
R_6400863,28,328.38986871860527,FALSE,2025-09-01T20:00:00Z,Medical provider (like a psychiatrist or pediatrician),Yes,No,NA,NA,1,1,1,Yes,Yes,NA,NA,1,Yes,The warning signs,Getting proper treatment,Yes,
R_4892508,20,111.83987751786205,FALSE,2025-09-04T16:00:00Z,Teacher or school staff,No,No,NA,NA,1,0,1,Yes,Yes,NA,NA,1,Yes,How to get help quickly,Not recognizing it in time,Yes,
R_6305963,61,134.10247943735462,FALSE,2025-08-29T13:00:00Z,Parent or caregiver,No,No,,1,1,1,1,Yes,Yes,NA,NA,1,Yes,How serious this condition is,,No,
R_6544573,57,296.7554174762383,FALSE,2025-09-08T14:00:00Z,Medical provider (like a psychiatrist or pediatrician),No,Yes,How to talk to doctors about this,1,1,1,1,Yes,Yes,NA,NA,1,Yes,How serious this condition is,Long-term effects,Yes,
R_5660508,76,263.23105193333697,FALSE,2025-09-02T13:00:00Z,Parent or caregiver,Yes,Yes,How to talk to doctors about this,1,1,1,1,Yes,Yes,Both options,1,1,Yes,How serious this condition is,Not recognizing it in time,Yes,
R_1005260,51,112.02803714004023,FALSE,2025-09-03T22:00:00Z,Teacher or school staff,No,No,Emergency contact information,1,1,1,1,Yes,Yes,NA,NA,1,Yes,The warning signs,Not recognizing it in time,Yes,
R_3762281,45,166.28406192292175,FALSE,2025-09-02T01:00:00Z,Behavioral therapist,No,No,NA,NA,1,0,1,Yes,Yes,NA,NA,0,No,The warning signs,,No,
R_3708215,48,180.51458296523143,FALSE,2025-08-31T02:00:00Z,Parent or caregiver,No,No,NA,NA,1,1,1,Yes,Yes,NA,NA,1,Yes,How serious this condition is,Getting proper treatment,Yes,
R_7317306,20,173.00675353858924,FALSE,2025-09-07T22:00:00Z,Medical provider (like a psychiatrist or pediatrician),No,Unsure,NA,NA,1,1,1,Yes,Yes,NA,NA,1,Yes,,Getting proper treatment,Yes,
R_2574770,52,68.32798195677935,FALSE,2025-09-06T15:00:00Z,Medical provider (like a psychiatrist or pediatrician),No,No,Emergency contact information,0,1,1,1,Yes,Yes,NA,NA,1,Yes,How serious this condition is,Getting proper treatment,Yes,
R_6278957,20,368.96491391456544,FALSE,2025-09-08T19:00:00Z,Behavioral therapist,No,Yes,NA,NA,1,1,1,Yes,Yes,NA,NA,1,Yes,,Long-term effects,No,
